Period,NTD/USD,NTD/JPY,NTD/GBP
2000M10,31.829,0.293707,46.202976
2000M11,32.424,0.297768,46.230139
2000M12,33.084,0.294840,48.355574
2001M01,32.689,0.279155,48.327418
2001M02,32.320,0.278525,46.990048
2001M03,32.587,0.269047,47.094732
2001M04,32.918,0.265832,47.230746
2001M05,33.251,0.272706,47.389325
2001M06,34.271,0.280565,48.020525
2001M07,34.779,0.279013,49.174028
2001M08,34.615,0.284639,49.741755
2001M09,34.587,0.290696,50.590405
2001M10,34.549,0.284870,50.151328
2001M11,34.496,0.282037,49.560403
2001M12,34.695,0.272417,49.936514
2002M01,35.022,0.263998,50.162011
2002M02,35.066,0.262627,49.881385
2002M03,35.018,0.266905,49.809603
2002M04,34.913,0.266369,50.365494
2002M05,34.459,0.272446,50.286019
2002M06,33.988,0.274984,50.506168
2002M07,33.404,0.282917,51.889774
2002M08,33.979,0.285514,52.195142
2002M09,34.589,0.287356,53.772059
2002M10,34.951,0.282181,54.425697
2002M11,34.710,0.283231,54.203136
2002M12,34.848,0.285009,55.275898
2003M01,34.607,0.291673,55.931833
2003M02,34.787,0.291666,55.986198
2003M03,34.723,0.292922,54.956092
2003M04,34.824,0.290709,54.816458
2003M05,34.716,0.296060,56.337125
2003M06,34.623,0.292770,57.491492
2003M07,34.416,0.289965,55.915675
2003M08,34.335,0.288942,54.729990
2003M09,33.996,0.295130,54.736960
2003M10,33.896,0.309327,56.816475
2003M11,34.050,0.311813,57.503640
2003M12,34.058,0.315527,59.608312
2004M01,33.687,0.316280,61.364239
2004M02,33.227,0.311844,62.038132
2004M03,33.306,0.306629,60.870046
2004M04,33.006,0.307748,59.493315
2004M05,33.504,0.297760,59.828093
2004M06,33.643,0.307326,61.482582
2004M07,33.891,0.309903,62.403498
2004M08,34.119,0.309161,62.076109
2004M09,33.920,0.308336,60.808384
2004M10,33.808,0.310393,61.047106
2004M11,32.774,0.312431,60.946530
2004M12,32.226,0.310343,62.173622
2005M01,31.939,0.307283,60.163494
2005M02,31.516,0.300496,59.483298
2005M03,31.164,0.295926,59.383002
2005M04,31.523,0.293620,59.723476
2005M05,31.303,0.292798,58.129671
2005M06,31.371,0.288788,57.057575
2005M07,31.921,0.285162,55.877710
2005M08,32.111,0.290020,57.581445
2005M09,32.924,0.296452,59.526592
2005M10,33.491,0.291683,59.064728
2005M11,33.580,0.283591,58.264658
2005M12,33.299,0.280673,58.113415
2006M01,32.107,0.278103,56.707383
2006M02,32.371,0.274586,56.587745
2006M03,32.489,0.276950,56.641323
2006M04,32.311,0.275903,57.070919
2006M05,31.762,0.284580,59.379059
2006M06,32.480,0.283594,59.870384
2006M07,32.632,0.282113,60.183198
2006M08,32.790,0.282965,62.064912
2006M09,32.907,0.281232,62.069183
2006M10,33.206,0.279842,62.257929
2006M11,32.824,0.279710,62.743076
2006M12,32.523,0.277666,63.868667
2007M01,32.768,0.271753,64.199066
2007M02,32.969,0.273715,64.513739
2007M03,33.012,0.281480,64.280966
2007M04,33.145,0.278834,65.955236
2007M05,33.260,0.275491,65.974536
2007M06,32.932,0.268570,65.389779
2007M07,32.789,0.269669,66.666595
2007M08,32.952,0.282317,66.210454
2007M09,32.984,0.286768,66.512236
2007M10,32.552,0.281251,66.510246
2007M11,32.332,0.290729,66.949872
2007M12,32.417,0.288793,65.595799
2008M01,32.368,0.300650,63.752013
2008M02,31.614,0.295017,62.080412
2008M03,30.604,0.303641,61.315114
2008M04,30.350,0.296126,60.123350
2008M05,30.602,0.293854,60.145171
2008M06,30.366,0.284060,59.635787
2008M07,30.407,0.284683,60.470401
2008M08,31.191,0.285423,60.809974
2008M09,31.957,0.299363,57.407555
2008M10,32.689,0.325815,55.205183
2008M11,33.116,0.342532,50.819814
2008M12,33.146,0.362965,49.291417
2009M01,33.330,0.368369,48.018531
2009M02,34.277,0.370562,49.365735
2009M03,34.340,0.349837,48.460608
2009M04,33.695,0.340354,49.514803
2009M05,32.907,0.341713,50.686652
2009M06,32.792,0.339743,53.634595
2009M07,32.920,0.348360,53.820908
2009M08,32.883,0.346721,54.414788
2009M09,32.588,0.356192,53.235757
2009M10,32.330,0.358068,52.303474
2009M11,32.337,0.362563,53.634148
2009M12,32.279,0.360418,52.424324
2010M01,31.896,0.349890,51.579022
2010M02,32.094,0.355494,50.121200
2010M03,31.877,0.352154,47.965322
2010M04,31.519,0.337535,48.302867
2010M05,31.962,0.348284,46.763602
2010M06,32.307,0.355334,47.248987
2010M07,32.173,0.366811,49.189300
2010M08,31.948,0.373792,50.784541
2010M09,31.778,0.376561,49.484702
2010M10,30.960,0.378160,49.096368
2010M11,30.706,0.372284,49.031341
2010M12,30.549,0.366163,47.665605
2011M01,29.613,0.358467,45.994912
2011M02,29.394,0.356291,47.394886
2011M03,29.529,0.361034,47.739534
2011M04,29.009,0.348038,47.406508
2011M05,28.814,0.354590,47.021567
2011M06,28.873,0.358626,47.262214
2011M07,28.859,0.363463,46.529366
2011M08,28.998,0.375524,47.478425
2011M09,29.745,0.387103,46.943559
2011M10,30.279,0.394412,47.716676
2011M11,30.242,0.389817,47.891231
2011M12,30.272,0.388800,47.239456
2012M01,30.061,0.390504,46.654672
2012M02,29.563,0.377127,46.706584
2012M03,29.546,0.358437,46.729954
2012M04,29.504,0.362057,47.203450
2012M05,29.523,0.370334,46.991759
2012M06,29.948,0.377559,46.608072
2012M07,30.007,0.379932,46.777912
2012M08,29.988,0.381236,47.120144
2012M09,29.608,0.378764,47.722174
2012M10,29.335,0.371470,47.179481
2012M11,29.185,0.361245,46.596771
2012M12,29.119,0.348397,45.163569
2013M01,29.184,0.327322,46.592256
2013M02,29.665,0.318396,45.915487
2013M03,29.798,0.314358,44.914525
2013M04,29.880,0.305834,45.704448
2013M05,29.888,0.295687,45.740595
2013M06,30.089,0.309144,46.640959
2013M07,30.041,0.301163,45.632279
2013M08,30.029,0.306825,46.520927
2013M09,29.782,0.299980,47.258078
2013M10,29.492,0.301493,47.479171
2013M11,29.589,0.296513,47.576153
2013M12,29.813,0.288299,48.818787
2014M01,30.264,0.291168,49.856914
2014M02,30.377,0.297347,49.557038
2014M03,30.446,0.297702,50.610386
2014M04,30.268,0.295125,50.662578
2014M05,30.177,0.296463,50.848245
2014M06,30.043,0.294395,50.784687
2014M07,30.000,0.291886,50.649000
2014M08,30.037,0.291735,50.167797
2014M09,30.155,0.281192,49.140588
2014M10,30.432,0.281621,48.889008
2014M11,30.793,0.264977,49.271879
2014M12,31.451,0.263607,49.403231
2015M01,31.685,0.267813,48.332299
2015M02,31.566,0.266245,48.374895
2015M03,31.526,0.261866,47.213338
2015M04,31.130,0.260393,46.517559
2015M05,30.717,0.254512,47.528414
2015M06,31.113,0.251418,48.386938
2015M07,31.343,0.254325,48.760305
2015M08,32.387,0.262817,50.536675
2015M09,32.889,0.273414,50.504348
2015M10,32.727,0.272589,49.529042
2015M11,32.802,0.267706,49.898402
2015M12,33.006,0.270719,49.472693
2016M01,33.644,0.284372,48.450724
2016M02,33.552,0.291528,47.952518
2016M03,32.855,0.290572,46.739523
2016M04,32.355,0.294217,46.300005
2016M05,32.573,0.298670,47.309025
2016M06,32.400,0.307138,46.004760
2016M07,32.124,0.308974,42.243060
2016M08,31.577,0.311810,41.413236
2016M09,31.483,0.308839,41.365514
2016M10,31.571,0.304094,38.958614
2016M11,31.758,0.295094,39.481546
2016M12,32.012,0.276204,40.008598
2017M01,31.742,0.276619,39.007744
2017M02,30.898,0.273264,38.576153
2017M03,30.658,0.271286,37.807446
2017M04,30.390,0.276122,38.394726
2017M05,30.156,0.268626,38.991708
2017M06,30.265,0.272879,38.742227
2017M07,30.435,0.270798,39.535065
2017M08,30.263,0.275343,39.226901
2017M09,30.150,0.272309,40.183920
2017M10,30.259,0.267874,39.957009
2017M11,30.110,0.266484,39.769288
2017M12,29.983,0.265454,40.189213
2018M01,29.440,0.265776,40.689024
2018M02,29.308,0.271622,40.896383
2018M03,29.216,0.275623,40.814752
2018M04,29.394,0.273382,41.369116
2018M05,29.878,0.272361,40.287495
2018M06,30.080,0.273380,39.982336
2018M07,30.565,0.274322,40.247992
2018M08,30.729,0.276688,39.575879
2018M09,30.755,0.274721,40.172181
2018M10,30.904,0.274020,40.212285
2018M11,30.857,0.272156,39.811701
2018M12,30.826,0.273839,39.078120
2019M01,30.830,0.283052,39.742953
2019M02,30.816,0.279257,40.091616
2019M03,30.857,0.277466,40.638669
2019M04,30.861,0.276384,40.252002
2019M05,31.246,0.284442,40.122989
2019M06,31.335,0.289978,39.723380
2019M07,31.089,0.287223,38.767983
2019M08,31.413,0.295596,38.154230
2019M09,31.142,0.289747,38.494626
2019M10,30.731,0.284230,38.831692
2019M11,30.479,0.280164,39.266096
2019M12,30.325,0.277829,39.819757
2020M01,30.045,0.274936,39.274824
2020M02,30.191,0.274539,39.130555
2020M03,30.205,0.281527,37.396810
2020M04,30.089,0.278783,37.337440
2020M05,29.957,0.279215,36.859093
2020M06,29.752,0.276608,37.255454
2020M07,29.563,0.277067,37.494753
2020M08,29.521,0.278395,38.734504
2020M09,29.359,0.277784,38.037520
2020M10,28.934,0.274986,37.527398
2020M11,28.844,0.276204,38.076964
2020M12,28.539,0.274704,38.170913
2021M01,28.431,0.274166,38.788413
2021M02,28.350,0.269052,39.278925
2021M03,28.385,0.261252,39.333095
2021M04,28.257,0.258930,39.110514
2021M05,27.921,0.255898,39.309976
2021M06,27.797,0.252448,38.999191
2021M07,28.001,0.254162,38.655381
2021M08,27.878,0.253806,38.477216
2021M09,27.737,0.251651,38.069032
2021M10,27.946,0.247026,38.283225
2021M11,27.818,0.243975,37.490319
2021M12,27.761,0.244332,36.847175
2022M01,27.678,0.240993,37.495387
2022M02,27.881,0.242002,37.736933
2022M03,28.441,0.239988,37.473862
2022M04,29.148,0.230930,37.717512
2022M05,29.597,0.229648,36.818668
2022M06,29.632,0.221465,36.456250
2022M07,29.866,0.218446,35.791414
2022M08,30.089,0.222486,36.112818
2022M09,31.242,0.218033,35.362820
2022M10,31.969,0.217461,36.108986
2022M11,31.462,0.220291,36.819979
2022M12,30.671,0.226488,37.440090
2023M01,30.453,0.233643,37.213566
2023M02,30.179,0.227611,36.522626
2023M03,30.559,0.228308,37.089458
2023M04,30.569,0.229273,38.055348
2023M05,30.734,0.224025,38.359105
2023M06,30.824,0.218362,38.890641
2023M07,31.203,0.221549,40.261231
2023M08,31.829,0.219859,40.451476
2023M09,32.032,0.216799,39.681242
2023M10,32.302,0.216024,39.288923
2023M11,31.925,0.213061,39.580615
2023M12,31.282,0.216200,39.543576
2024M01,31.221,0.212895,39.644426
2024M02,31.437,0.210436,39.708075
2024M03,31.688,0.211776,40.291292
2024M04,32.352,0.210858,40.514410
2024M05,32.325,0.207079,40.813545
2024M06,32.386,0.205208,41.162606
2024M07,32.650,0.206986,42.014020
2024M08,32.266,0.220652,41.684445
2024M09,31.976,0.223265,42.275470
2024M10,32.093,0.214482,41.913458
2024M11,32.364,0.210101,41.267336
2024M12,32.574,0.213572,41.313604
2025M01,32.881,0.210223,40.617899
2025M02,32.806,0.215872,41.096076
2025M03,32.984,0.221102,42.579046
2025M04,32.640,0.226054,42.866112
2025M05,30.208,0.208504,40.354867
2025M06,29.694,0.205552,40.265064
2025M07,29.323,0.199734,39.594847
2025M08,30.179,0.204368,40.569630
2025M09,30.390,0.205379,41.038656
2025M10,30.633,0.202492,40.901182
2025M11,31.170,0.201097,40.882572
2025M12,31.391,0.201392,41.985462
